conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedicínský inženýr/biomedicínská inženýrka,released,biomedicínská inženýrka | biomedicínský inženýr,"Biomedicínští inženýři využívají znalosti o technických zásadách a biologických zjištěních k rozvoji lékařské péče, léků a pro obecné zdravotnické účely. Mohou vyvíjet řešení, která sahají od zlepšení složek běžných léků až po vývoj implantátů a ošetření tkání.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioinženýr/bioinženýrka
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,kriminolog/kriminoložka,released,kriminolog | kriminoložka,"Kriminologové studují podmínky týkající se lidí, jako jsou sociální a psychologické aspekty, které by je mohly vést k páchání trestných činů. Provádějí pozorování a analýzu různých faktorů sahajících od behaviorálních podmínek až po sociální pozadí a prostředí podezřelých s cílem poskytovat organizacím poradenství v oblasti předcházení trestné činnosti.",http://data.europa.eu/esco/isco/C2632,"Sociologové, antropologové a specialisté v příbuzných oborech"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,přednášející v oboru ekonomie,released,,"Přednášející v oboru ekonomie jsou profesoři, asistenti profesorů, učitelé, přednášející, asistenti přednášejících a mentoři, kteří vyučují studenty ve své specializaci, ekonomii. Vypracovávají učební osnovy, připravují vyučování (přednášky, praktické kurzy, semináře, cvičení atd.), sledují studijní výsledky a dohlížejí na pokrok studentů ve studiu. Provádějí akademický výzkum v oboru ekonomie a prezentují svá zjištění na konferencích a v publikacích. Jsou zapojeni do některých funkcí řízení vysokých škol.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,přednášející v oboru lékařství,released,,"Přednášející v oboru lékařství jsou profesoři, učitelé nebo přednášející a často lékaři vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru lékařství, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek, vedení laboratorních cvičení a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum ve své lékařské specializaci, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,inženýr se specializací na zdravotnické prostředky/inženýrka se specializací na zdravotnické prostředky,released,inženýr se specializací na zdravotnické prostředky | inženýrka se specializací na zdravotnické prostředky,"Inženýři se specializací na zdravotnické prostředky navrhují a vyvíjejí zdravotnické systémy, zařízení a přístroje, jako jsou kardiostimulátory, skenery pro magnetickou rezonanci a rentgenové přístroje. Sledují celý výrobní proces od návrhu koncepce až po činnosti zavedení výrobku. Prováděné činnosti zahrnují mimo jiné navrhování zlepšení výrobků, vyvíjení metod a technik pro vyhodnocení vhodnosti návrhu, koordinaci počáteční výroby, vývoj zkušebních postupů a navrhování výrobních schémat.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inženýr elektroniky/inženýrka elektroniky
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historik/historička,released,historik | historička,"Historikové zkoumají, analyzují, interpretují a prezentují minulost lidských společností. Analyzují dokumenty, zdroje a stopy z minulosti s cílem porozumět dávným společnostem.",http://data.europa.eu/esco/isco/C2633,"Filozofové, historici a politologové"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemik/chemička,released,chemik | chemička,"Chemici provádějí laboratorní výzkum, testují a analyzují chemickou strukturu látek. Převádějí vědecké výsledky na procesy průmyslové výroby, které se dále využívají ve vývoji nebo zlepšování výrobků. Chemici rovněž testují kvalitu výrobků a jejich dopad na životní prostředí.",http://data.europa.eu/esco/isco/C2113,Chemici (kromě chemického inženýrství)
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmakolog/farmakoložka,released,farmakolog | farmakoložka,"Farmakologové zkoumají způsob, jakým léčiva a léky ovlivňují organismy, živé systémy a jejich části (tj. buňky, tkáně nebo orgány). Cílem jejich výzkumu je identifikovat látky, které může člověk konzumovat a které mají odpovídající biochemické účinky v rámci léčby nemocí.",http://data.europa.eu/esco/isco/C2131,"Biologové, botanici, zoologové a specialisté v příbuzných oborech"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,přednášející v oboru sociologie,released,,"Přednášející v oboru sociologie jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru sociologie, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru sociologie, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kineziolog/kinezioložka,released,kinezioložka | kineziolog,"Kineziologové zkoumají pohyby těla, svaly a části těla a provádějí související výzkum. Analyzují vědecké údaje a metody a využívají je ke zlepšení pohybu těla, obecně u člověka, a to prostřednictvím pochopení takových oborů, jako je fyziologie, kinetika, neurologie a biologie. Rozpoznávají účinky, které mají některé faktory při pohybu, jako je například tělesná kondice, a vypracovávají řešení pro zlepšení celkové mechaniky a pohyblivosti.",http://data.europa.eu/esco/isco/C2269,Specialisté v oblasti zdravotnictví jinde neuvedení
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,chemik v oblasti kosmetických výrobků/chemička v oblasti kosmetických výrobků,released,chemička v oblasti kosmetických výrobků | chemik v oblasti kosmetických výrobků,"Chemici v oblasti kosmetických výrobků vypracovávají receptury s cílem vytvořit a testovat nové kosmetické výrobky a zlepšit stávající, jako jsou parfémy a vůně, rtěnky, voděodolná pleťová mléka a líčidla, přípravky na barvení vlasů, mýdla a detergenty se speciálními vlastnostmi, lokální léky nebo potravinové doplňky.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemik/chemička
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,vědecký pracovník v oblasti životního prostředí,released,inženýrka chemie pro environment | chemický technik pro environment | inženýr chemie pro environment | chemická technička pro environment | inženýr ochrany životního prostředí | inženýrka ochrany životního prostředí,"Vědečtí pracovníci v oblasti životního prostředí identifikují problémy a hledají řešení s cílem minimalizovat rizika pro životní prostředí tak, že provádějí analýzu vzorků, jako je vzduch, voda nebo půda. Poskytují poradenství ohledně politik v oblasti životního prostředí nebo je vypracovávají a zaměřují se na zlepšení ochrany zásobování vodou a na správu skládek. Vědečtí pracovníci v oblasti životního prostředí provádějí hodnocení rizik pro životní prostředí, analyzují environmentální dopad nových řešení, stavenišť nebo změn životního prostředí a zajišťují dodržování právních předpisů v oblasti životního prostředí.",http://data.europa.eu/esco/isco/C2133,Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie)
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociolog/socioložka,released,sociolog | socioložka,"Sociologové zaměřují svůj výzkum na vysvětlení sociálního chování a způsobu, jakým se lidé organizují jako společnost. Zkoumají a osvětlují způsob, jakým se společnosti vyvíjejí, a to tím, že popisují jejich právní, politické a ekonomické systémy a jejich kulturní projevy.",http://data.europa.eu/esco/isco/C2632,"Sociologové, antropologové a specialisté v příbuzných oborech"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biofyzik/biofyzička,released,biotechnoložka | biofyzik | biotechnolog | biofyzyčka,"Biofyzici zkoumají existující vztah mezi živými organismy a fyzikou. Provádějí výzkum živých organismů na základě fyzikálních metod, jejichž cílem je vysvětlit složitost života, předvídat vzorce a vyvozovat závěry o aspektech života. Oblasti výzkumu biofyziků zahrnují DNA, proteiny, molekuly, buňky a prostředí.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog/bioložka
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,vědecký pracovník v oboru médií/vědecká pracovnice v oboru médií,released,vědecká pracovnice v oboru médií | výzkumný pracovník v oboru médií | vědecký pracovník v oboru médií | výzkumná pracovnice v oboru médií,"Vědečtí pracovníci v oboru médií zkoumají úlohu a dopad sdělovacích prostředků na společnost. Pozorují a dokumentují používání různých druhů sdělovacích prostředků, jako jsou noviny, rozhlas a televize, a reakce společnosti.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropolog/antropoložka
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,přednášející v oboru ošetřovatelství,released,,"Přednášející v oboru ošetřovatelství jsou profesoři, učitelé nebo přednášející a často lékaři vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru ošetřovatelství, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek, vedení laboratorních cvičení a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum ve své specializaci ošetřovatelství, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorolog/meteoroložka,released,meteorolog | meteoroložka,"Meteorologové zkoumají klimatické procesy, měří a předpovídají povětrnostní podmínky a poskytují poradenské služby různým uživatelům informací o počasí. Vypracovávají modely pro předpověď počasí, vyvíjejí nástroje pro shromažďování meteorologických údajů a sestavují statistiky a databáze.",http://data.europa.eu/esco/isco/C2112,Meteorologové
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,inženýr v oboru elektromagnetiky/inženýrka v oboru elektromagnetiky,released,inženýrka v oboru elektromagnetiky | specialista na elektromagnetické technologie | specialistka na elektromagnetické technologie | inženýr v oboru elektromagnetiky,"Inženýři v oboru elektromagnetiky navrhují a vyvíjejí elektromagnetické systémy, zařízení a součásti, jako jsou elektromagnety v reproduktorech, elektromagnetické zámky, vedení magnetů v přístrojích pro magnetickou rezonanci a magnetů v elektromotorech.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,elektroinženýr/elektroinženýrka
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archeolog/archeoložka,released,archeolog | archeoložka,"Archeologové zkoumají a studují staré civilizace a osídlení prostřednictvím sběru a výzkumu materiálních pozůstatků. Analyzují a vyvozují závěry ohledně široké škály otázek, jako jsou systémy hierarchie, jazykověda, kultura a politika, na základě studie předmětů, budov, fosilních zdrojů, reliktů a artefaktů, které tyto národy zanechávají. Archeologové využívají různé interdisciplinární metody, jako je stratigrafie, typologie, 3D analýza, matematika a modelování.",http://data.europa.eu/esco/isco/C2632,"Sociologové, antropologové a specialisté v příbuzných oborech"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,fyziolog/fyzioložka,released,fyziolog | fyzioložka,"Fyziologové zkoumají a provádějí výzkum v oblasti fungování různých živých organismů, částí, ze kterých se skládají, a jejich interakcí. Rozumějí tomu, jak živé systémy reagují na takové faktory, jako jsou nemoci, fyzická aktivita a stres, a využívají tyto informace k vývoji metod a řešení pro vyrovnání se s vlivem těchto podnětů na živé organismy.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog/bioložka
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,datový vědec/datová vědkyně,released,datový vědec | vědecká pracovnice pro zpracování dat | vědecký pracovník pro zpracování dat | datová vědkyně,"Vědci v oblasti dat vyhledávají a interpretují bohaté zdroje dat, spravují velké množství údajů, slučují zdroje dat, zajišťují konzistentnost datových sad a vytvářejí vizualizaci za účelem lepšího pochopení dat. Vytvářejí matematické modely s využitím údajů, prezentují a sdělují poznatky a zjištění odborníkům a vědcům v jejich týmu a v případě potřeby neodbornému publiku a doporučují způsoby, jak údaje použít.",http://data.europa.eu/esco/isco/C2511,Systémoví analytici
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,pedagogický pracovník v oboru podnikové ekonomiky/pedagogická pracovnice v oboru podnikové ekonomiky,released,docent podnikové ekonomiky | pedagogický pracovník v oboru podnikové ekonomiky | docentka podnikové ekonomiky | pedagogická pracovnice v oboru podnikové ekonomiky | profesorka podnikové ekonomiky | profesor podnikové ekonomiky,"Pedagogičtí pracovníci v oboru podnikové ekonomiky jsou profesoři, učitelé nebo přednášející vyučující studenty, kteří získali diplom vyššího sekundárního vzdělání, ve specializovaném studijním oboru podniková ekonomika, jenž má převážně akademickou povahu. Spolupracují s odbornými asistenty zaměřenými na výzkum či výuku při přípravě přednášek a zkoušek, známkování testů a zkoušek a vedení pohovorů zaměřených na hodnocení a zpětnou vazbu pro studenty. Provádějí rovněž akademický výzkum v oboru podnikové ekonomiky, zveřejňují svá zjištění a spolupracují s ostatními vysokoškolskými kolegy.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,vysokoškolský učitel/vysokoškolská učitelka
